lineno	LN_TK_SN	tkcode	tkval	tag	highlevel
2	0	TT_EOL	N/P	PREPROD_EOL1	BEGIN
2	0	TT_WORD	WHEAT-SRW	PRODUCT_NAME	
2	1	45	-	L2SQ1	
2	2	TT_WORD	CHICAGO	L2SQ2	
2	3	TT_WORD	BOARD	L2SQ3	
2	4	TT_WORD	OF	L2SQ4	
2	5	TT_WORD	TRADE	L2SQ5	
2	6	TT_WORD	Code-001602	PRODUCT_CODE	
3	7	TT_EOL	N/P	L3SQ7	
3	0	TT_WORD	Disaggregated	REPORT_NAME1	
3	1	TT_WORD	Commitments	REPORT_NAME2	
3	2	TT_WORD	of	REPORT_NAME3	
3	3	TT_WORD	Traders	REPORT_NAME4	
3	4	45	-	REPORT_NAME5	
3	5	TT_WORD	Options	REPORT_NAME6	
3	6	TT_WORD	and	REPORT_NAME7	
3	7	TT_WORD	Futures	REPORT_NAME8	
3	8	TT_WORD	Combined	REPORT_NAME9	
3	9	44	","	L3SQ9	
3	10	TT_WORD	May	REPORT_DATE1	
3	11	TT_NUMBER	2	REPORT_DATE2	
3	12	44	","	REPORT_DATE3	
3	13	TT_NUMBER	2023	REPORT_DATE4	
4	14	TT_EOL	N/P	L4SQ14	
4	0	45	-	L4SQ0	
4	1	45	-	L4SQ1	
4	2	45	-	L4SQ2	
4	3	45	-	L4SQ3	
4	4	45	-	L4SQ4	
4	5	45	-	L4SQ5	
4	6	45	-	L4SQ6	
4	7	45	-	L4SQ7	
4	8	45	-	L4SQ8	
4	9	45	-	L4SQ9	
4	10	45	-	L4SQ10	
4	11	45	-	L4SQ11	
4	12	45	-	L4SQ12	
4	13	45	-	L4SQ13	
4	14	45	-	L4SQ14	
4	15	45	-	L4SQ15	
4	16	45	-	L4SQ16	
4	17	45	-	L4SQ17	
4	18	45	-	L4SQ18	
4	19	45	-	L4SQ19	
4	20	45	-	L4SQ20	
4	21	45	-	L4SQ21	
4	22	45	-	L4SQ22	
4	23	45	-	L4SQ23	
4	24	45	-	L4SQ24	
4	25	45	-	L4SQ25	
4	26	45	-	L4SQ26	
4	27	45	-	L4SQ27	
4	28	45	-	L4SQ28	
4	29	45	-	L4SQ29	
4	30	45	-	L4SQ30	
4	31	45	-	L4SQ31	
4	32	45	-	L4SQ32	
4	33	45	-	L4SQ33	
4	34	45	-	L4SQ34	
4	35	45	-	L4SQ35	
4	36	45	-	L4SQ36	
4	37	45	-	L4SQ37	
4	38	45	-	L4SQ38	
4	39	45	-	L4SQ39	
4	40	45	-	L4SQ40	
4	41	45	-	L4SQ41	
4	42	45	-	L4SQ42	
4	43	45	-	L4SQ43	
4	44	45	-	L4SQ44	
4	45	45	-	L4SQ45	
4	46	45	-	L4SQ46	
4	47	45	-	L4SQ47	
4	48	45	-	L4SQ48	
4	49	45	-	L4SQ49	
4	50	45	-	L4SQ50	
4	51	45	-	L4SQ51	
4	52	45	-	L4SQ52	
4	53	45	-	L4SQ53	
4	54	45	-	L4SQ54	
4	55	45	-	L4SQ55	
4	56	45	-	L4SQ56	
4	57	45	-	L4SQ57	
4	58	45	-	L4SQ58	
4	59	45	-	L4SQ59	
4	60	45	-	L4SQ60	
4	61	45	-	L4SQ61	
4	62	45	-	L4SQ62	
4	63	45	-	L4SQ63	
4	64	45	-	L4SQ64	
4	65	45	-	L4SQ65	
4	66	45	-	L4SQ66	
4	67	45	-	L4SQ67	
4	68	45	-	L4SQ68	
4	69	45	-	L4SQ69	
4	70	45	-	L4SQ70	
4	71	45	-	L4SQ71	
4	72	45	-	L4SQ72	
4	73	45	-	L4SQ73	
4	74	45	-	L4SQ74	
4	75	45	-	L4SQ75	
4	76	45	-	L4SQ76	
4	77	45	-	L4SQ77	
4	78	45	-	L4SQ78	
4	79	45	-	L4SQ79	
4	80	45	-	L4SQ80	
4	81	45	-	L4SQ81	
4	82	45	-	L4SQ82	
4	83	45	-	L4SQ83	
4	84	45	-	L4SQ84	
4	85	45	-	L4SQ85	
4	86	45	-	L4SQ86	
4	87	45	-	L4SQ87	
4	88	45	-	L4SQ88	
4	89	45	-	L4SQ89	
4	90	45	-	L4SQ90	
4	91	45	-	L4SQ91	
4	92	45	-	L4SQ92	
4	93	45	-	L4SQ93	
4	94	45	-	L4SQ94	
4	95	45	-	L4SQ95	
4	96	45	-	L4SQ96	
4	97	45	-	L4SQ97	
4	98	45	-	L4SQ98	
4	99	45	-	L4SQ99	
4	100	45	-	L4SQ100	
4	101	45	-	L4SQ101	
4	102	45	-	L4SQ102	
4	103	45	-	L4SQ103	
4	104	45	-	L4SQ104	
4	105	45	-	L4SQ105	
4	106	45	-	L4SQ106	
4	107	45	-	L4SQ107	
4	108	45	-	L4SQ108	
4	109	45	-	L4SQ109	
4	110	45	-	L4SQ110	
4	111	45	-	L4SQ111	
4	112	45	-	L4SQ112	
4	113	45	-	L4SQ113	
4	114	45	-	L4SQ114	
4	115	45	-	L4SQ115	
4	116	45	-	L4SQ116	
4	117	45	-	L4SQ117	
4	118	45	-	L4SQ118	
4	119	45	-	L4SQ119	
4	120	45	-	L4SQ120	
4	121	45	-	L4SQ121	
4	122	45	-	L4SQ122	
4	123	45	-	L4SQ123	
4	124	45	-	L4SQ124	
4	125	45	-	L4SQ125	
4	126	45	-	L4SQ126	
4	127	45	-	L4SQ127	
4	128	45	-	L4SQ128	
4	129	45	-	L4SQ129	
4	130	45	-	L4SQ130	
4	131	45	-	L4SQ131	
4	132	45	-	L4SQ132	
4	133	45	-	L4SQ133	
4	134	45	-	L4SQ134	
4	135	45	-	L4SQ135	
4	136	45	-	L4SQ136	
4	137	45	-	L4SQ137	
4	138	45	-	L4SQ138	
4	139	45	-	L4SQ139	
4	140	45	-	L4SQ140	
4	141	45	-	L4SQ141	
4	142	45	-	L4SQ142	
4	143	45	-	L4SQ143	
4	144	45	-	L4SQ144	
4	145	45	-	L4SQ145	
4	146	45	-	L4SQ146	
4	147	45	-	L4SQ147	
4	148	45	-	L4SQ148	
4	149	45	-	L4SQ149	
4	150	45	-	L4SQ150	
4	151	45	-	L4SQ151	
4	152	45	-	L4SQ152	
4	153	45	-	L4SQ153	
4	154	45	-	L4SQ154	
4	155	45	-	L4SQ155	
4	156	45	-	L4SQ156	
5	157	TT_EOL	N/P	L5SQ157	
5	0	58	:	L5SQ0	
5	1	58	:	L5SQ1	
5	2	TT_WORD	Reportable	SECTION_POS1	
5	3	TT_WORD	Positions	SECTION_POS2	
5	4	58	:	L5SQ4	
5	5	TT_WORD	Nonreportable	L5SQ5	
6	6	TT_EOL	N/P	L6SQ6	
6	0	58	:	L6SQ0	
6	1	58	:	L6SQ1	
6	2	TT_WORD	Producer	L6SQ2	
7	3	TT_EOL	N/P	L7SQ3	
7	0	58	:	L7SQ0	
7	1	TT_WORD	Open	L7SQ1	
7	2	58	:	L7SQ2	
7	3	TT_WORD	Processor	L7SQ3	
8	4	TT_EOL	N/P	L8SQ4	
8	0	58	:	L8SQ0	
8	1	TT_WORD	Interest	L8SQ1	
8	2	58	:	L8SQ2	
8	3	TT_WORD	Long	L8SQ3	
8	4	58	:	L8SQ4	
8	5	TT_WORD	Short	L8SQ5	
8	6	58	:	L8SQ6	
8	7	TT_WORD	Long	L8SQ7	
8	8	58	:	L8SQ8	
8	9	TT_WORD	Short	L8SQ9	
8	10	58	:	L8SQ10	
8	11	TT_WORD	Spreading	L8SQ11	
8	12	58	:	L8SQ12	
8	13	TT_WORD	Long	COL1	COLKEY
8	14	58	:	L8SQ14	
8	15	TT_WORD	Short	COL2	
8	16	58	:	L8SQ16	
8	17	TT_WORD	Spreading	L8SQ17	
8	18	58	:	L8SQ18	
8	19	TT_WORD	Long	L8SQ19	
8	20	58	:	L8SQ20	
8	21	TT_WORD	Short	L8SQ21	
8	22	58	:	L8SQ22	
8	23	TT_WORD	Spreading	L8SQ23	
8	24	58	:	L8SQ24	
8	25	TT_WORD	Long	L8SQ25	
8	26	58	:	L8SQ26	
8	27	TT_WORD	Short	L8SQ27	
9	28	TT_EOL	N/P	L9SQ28	
9	0	45	-	L9SQ0	
9	1	45	-	L9SQ1	
9	2	45	-	L9SQ2	
9	3	45	-	L9SQ3	
9	4	45	-	L9SQ4	
9	5	45	-	L9SQ5	
9	6	45	-	L9SQ6	
9	7	45	-	L9SQ7	
9	8	45	-	L9SQ8	
9	9	45	-	L9SQ9	
9	10	45	-	L9SQ10	
9	11	45	-	L9SQ11	
9	12	45	-	L9SQ12	
9	13	45	-	L9SQ13	
9	14	45	-	L9SQ14	
9	15	45	-	L9SQ15	
9	16	45	-	L9SQ16	
9	17	45	-	L9SQ17	
9	18	45	-	L9SQ18	
9	19	45	-	L9SQ19	
9	20	45	-	L9SQ20	
9	21	45	-	L9SQ21	
9	22	45	-	L9SQ22	
9	23	45	-	L9SQ23	
9	24	45	-	L9SQ24	
9	25	45	-	L9SQ25	
9	26	45	-	L9SQ26	
9	27	45	-	L9SQ27	
9	28	45	-	L9SQ28	
9	29	45	-	L9SQ29	
9	30	45	-	L9SQ30	
9	31	45	-	L9SQ31	
9	32	45	-	L9SQ32	
9	33	45	-	L9SQ33	
9	34	45	-	L9SQ34	
9	35	45	-	L9SQ35	
9	36	45	-	L9SQ36	
9	37	45	-	L9SQ37	
9	38	45	-	L9SQ38	
9	39	45	-	L9SQ39	
9	40	45	-	L9SQ40	
9	41	45	-	L9SQ41	
9	42	45	-	L9SQ42	
9	43	45	-	L9SQ43	
9	44	45	-	L9SQ44	
9	45	45	-	L9SQ45	
9	46	45	-	L9SQ46	
9	47	45	-	L9SQ47	
9	48	45	-	L9SQ48	
9	49	45	-	L9SQ49	
9	50	45	-	L9SQ50	
9	51	45	-	L9SQ51	
9	52	45	-	L9SQ52	
9	53	45	-	L9SQ53	
9	54	45	-	L9SQ54	
9	55	45	-	L9SQ55	
9	56	45	-	L9SQ56	
9	57	45	-	L9SQ57	
9	58	45	-	L9SQ58	
9	59	45	-	L9SQ59	
9	60	45	-	L9SQ60	
9	61	45	-	L9SQ61	
9	62	45	-	L9SQ62	
9	63	45	-	L9SQ63	
9	64	45	-	L9SQ64	
9	65	45	-	L9SQ65	
9	66	45	-	L9SQ66	
9	67	45	-	L9SQ67	
9	68	45	-	L9SQ68	
9	69	45	-	L9SQ69	
9	70	45	-	L9SQ70	
9	71	45	-	L9SQ71	
9	72	45	-	L9SQ72	
9	73	45	-	L9SQ73	
9	74	45	-	L9SQ74	
9	75	45	-	L9SQ75	
9	76	45	-	L9SQ76	
9	77	45	-	L9SQ77	
9	78	45	-	L9SQ78	
9	79	45	-	L9SQ79	
9	80	45	-	L9SQ80	
9	81	45	-	L9SQ81	
9	82	45	-	L9SQ82	
9	83	45	-	L9SQ83	
9	84	45	-	L9SQ84	
9	85	45	-	L9SQ85	
9	86	45	-	L9SQ86	
9	87	45	-	L9SQ87	
9	88	45	-	L9SQ88	
9	89	45	-	L9SQ89	
9	90	45	-	L9SQ90	
9	91	45	-	L9SQ91	
9	92	45	-	L9SQ92	
9	93	45	-	L9SQ93	
9	94	45	-	L9SQ94	
9	95	45	-	L9SQ95	
9	96	45	-	L9SQ96	
9	97	45	-	L9SQ97	
9	98	45	-	L9SQ98	
9	99	45	-	L9SQ99	
9	100	45	-	L9SQ100	
9	101	45	-	L9SQ101	
9	102	45	-	L9SQ102	
9	103	45	-	L9SQ103	
9	104	45	-	L9SQ104	
9	105	45	-	L9SQ105	
9	106	45	-	L9SQ106	
9	107	45	-	L9SQ107	
9	108	45	-	L9SQ108	
9	109	45	-	L9SQ109	
9	110	45	-	L9SQ110	
9	111	45	-	L9SQ111	
9	112	45	-	L9SQ112	
9	113	45	-	L9SQ113	
9	114	45	-	L9SQ114	
9	115	45	-	L9SQ115	
9	116	45	-	L9SQ116	
9	117	45	-	L9SQ117	
9	118	45	-	L9SQ118	
9	119	45	-	L9SQ119	
9	120	45	-	L9SQ120	
9	121	45	-	L9SQ121	
9	122	45	-	L9SQ122	
9	123	45	-	L9SQ123	
9	124	45	-	L9SQ124	
9	125	45	-	L9SQ125	
9	126	45	-	L9SQ126	
9	127	45	-	L9SQ127	
9	128	45	-	L9SQ128	
9	129	45	-	L9SQ129	
9	130	45	-	L9SQ130	
9	131	45	-	L9SQ131	
9	132	45	-	L9SQ132	
9	133	45	-	L9SQ133	
9	134	45	-	L9SQ134	
9	135	45	-	L9SQ135	
9	136	45	-	L9SQ136	
9	137	45	-	L9SQ137	
9	138	45	-	L9SQ138	
9	139	45	-	L9SQ139	
9	140	45	-	L9SQ140	
9	141	45	-	L9SQ141	
9	142	45	-	L9SQ142	
9	143	45	-	L9SQ143	
9	144	45	-	L9SQ144	
9	145	45	-	L9SQ145	
9	146	45	-	L9SQ146	
9	147	45	-	L9SQ147	
9	148	45	-	L9SQ148	
9	149	45	-	L9SQ149	
9	150	45	-	L9SQ150	
9	151	45	-	L9SQ151	
9	152	45	-	L9SQ152	
9	153	45	-	L9SQ153	
9	154	45	-	L9SQ154	
9	155	45	-	L9SQ155	
9	156	45	-	L9SQ156	
10	157	TT_EOL	N/P	L10SQ157	
10	0	58	:	L10SQ0	
10	1	58	:	L10SQ1	
10	2	40	(	L10SQ2	
10	3	TT_WORD	CONTRACTS	L10SQ3	
10	4	TT_WORD	OF	L10SQ4	
10	5	TT_NUMBER	5	L10SQ5	
10	6	44	","	L10SQ6	
10	7	TT_NUMBER	0	L10SQ7	
10	8	TT_WORD	BUSHELS	L10SQ8	
10	9	41	)	L10SQ9	
10	10	58	:	L10SQ10	
11	11	TT_EOL	N/P	L11SQ11	
11	0	58	:	L11SQ0	
11	1	58	:	L11SQ1	
11	2	TT_WORD	Positions	BOX1	
11	3	58	:	L11SQ3	
12	4	TT_EOL	N/P	L12SQ4	
12	0	TT_WORD	All	ROW1	ROWKEY
12	1	58	:	L12SQ1	
12	2	TT_NUMBER	462	L12SQ2	
12	3	44	","	L12SQ3	
12	4	TT_NUMBER	482	L12SQ4	
12	5	58	:	L12SQ5	
12	6	TT_NUMBER	78	L12SQ6	
12	7	44	","	L12SQ7	
12	8	TT_NUMBER	394	L12SQ8	
12	9	TT_NUMBER	51	L12SQ9	
12	10	44	","	L12SQ10	
12	11	TT_NUMBER	330	L12SQ11	
12	12	TT_NUMBER	71	L12SQ12	
12	13	44	","	L12SQ13	
12	14	TT_NUMBER	87	L12SQ14	
12	15	TT_NUMBER	4	L12SQ15	
12	16	44	","	L12SQ16	
12	17	TT_NUMBER	461	L12SQ17	
12	18	TT_NUMBER	14	L12SQ18	
12	19	44	","	L12SQ19	
12	20	TT_NUMBER	141	L12SQ20	
12	21	TT_NUMBER	58	LONG1	VAL1
12	22	44	","	LONG2	
12	23	TT_NUMBER	776	LONG3	
12	24	TT_NUMBER	185	SHORT1	VAL2
12	25	44	","	SHORT2	
12	26	TT_NUMBER	100	SHORT3	
12	27	TT_NUMBER	70	L12SQ27	
12	28	44	","	L12SQ28	
12	29	TT_NUMBER	898	L12SQ29	
12	30	TT_NUMBER	37	L12SQ30	
12	31	44	","	L12SQ31	
12	32	TT_NUMBER	166	L12SQ32	
12	33	TT_NUMBER	13	L12SQ33	
12	34	44	","	L12SQ34	
12	35	TT_NUMBER	208	L12SQ35	
12	36	TT_NUMBER	86	L12SQ36	
12	37	44	","	L12SQ37	
12	38	TT_NUMBER	792	L12SQ38	
12	39	58	:	L12SQ39	
12	40	TT_NUMBER	45	L12SQ40	
12	41	44	","	L12SQ41	
12	42	TT_NUMBER	229	L12SQ42	
12	43	TT_NUMBER	36	L12SQ43	
12	44	44	","	L12SQ44	
12	45	TT_NUMBER	552	L12SQ45	
13	46	TT_EOL	N/P	L13SQ46	
13	0	TT_WORD	Old	L13SQ0	
13	1	58	:	L13SQ1	
13	2	TT_NUMBER	457	L13SQ2	
13	3	44	","	L13SQ3	
13	4	TT_NUMBER	133	L13SQ4	
13	5	58	:	L13SQ5	
13	6	TT_NUMBER	77	L13SQ6	
13	7	44	","	L13SQ7	
13	8	TT_NUMBER	419	L13SQ8	
13	9	TT_NUMBER	49	L13SQ9	
13	10	44	","	L13SQ10	
13	11	TT_NUMBER	598	L13SQ11	
13	12	TT_NUMBER	70	L13SQ12	
13	13	44	","	L13SQ13	
13	14	TT_NUMBER	363	L13SQ14	
13	15	TT_NUMBER	4	L13SQ15	
13	16	44	","	L13SQ16	
13	17	TT_NUMBER	321	L13SQ17	
13	18	TT_NUMBER	13	L13SQ18	
13	19	44	","	L13SQ19	
13	20	TT_NUMBER	838	L13SQ20	
13	21	TT_NUMBER	58	L13SQ21	
13	22	44	","	L13SQ22	
13	23	TT_NUMBER	693	L13SQ23	
13	24	TT_NUMBER	184	L13SQ24	
13	25	44	","	L13SQ25	
13	26	TT_NUMBER	417	L13SQ26	
13	27	TT_NUMBER	70	L13SQ27	
13	28	44	","	L13SQ28	
13	29	TT_NUMBER	506	L13SQ29	
13	30	TT_NUMBER	37	L13SQ30	
13	31	44	","	L13SQ31	
13	32	TT_NUMBER	592	L13SQ32	
13	33	TT_NUMBER	14	L13SQ33	
13	34	44	","	L13SQ34	
13	35	TT_NUMBER	426	L13SQ35	
13	36	TT_NUMBER	84	L13SQ36	
13	37	44	","	L13SQ37	
13	38	TT_NUMBER	476	L13SQ38	
13	39	58	:	L13SQ39	
13	40	TT_NUMBER	44	L13SQ40	
13	41	44	","	L13SQ41	
13	42	TT_NUMBER	246	L13SQ42	
13	43	TT_NUMBER	35	L13SQ43	
13	44	44	","	L13SQ44	
13	45	TT_NUMBER	551	L13SQ45	
14	46	TT_EOL	N/P	L14SQ46	
14	0	TT_WORD	Other	L14SQ0	
14	1	58	:	L14SQ1	
14	2	TT_NUMBER	5	L14SQ2	
14	3	44	","	L14SQ3	
14	4	TT_NUMBER	349	L14SQ4	
14	5	58	:	L14SQ5	
14	6	TT_NUMBER	975	L14SQ6	
14	7	TT_NUMBER	1	L14SQ7	
14	8	44	","	L14SQ8	
14	9	TT_NUMBER	732	L14SQ9	
14	10	TT_NUMBER	940	L14SQ10	
14	11	TT_NUMBER	356	L14SQ11	
14	12	TT_NUMBER	86	L14SQ12	
14	13	TT_NUMBER	475	L14SQ13	
14	14	TT_NUMBER	1	L14SQ14	
14	15	44	","	L14SQ15	
14	16	TT_NUMBER	75	L14SQ16	
14	17	TT_NUMBER	0	L14SQ17	
14	18	TT_NUMBER	1	L14SQ18	
14	19	44	","	L14SQ19	
14	20	TT_NUMBER	397	L14SQ20	
14	21	TT_NUMBER	606	L14SQ21	
14	22	TT_NUMBER	492	L14SQ22	
14	23	58	:	L14SQ23	
14	24	TT_NUMBER	983	L14SQ24	
14	25	TT_NUMBER	1	L14SQ25	
14	26	44	","	L14SQ26	
14	27	TT_NUMBER	1	L14SQ27	
15	28	TT_EOL	N/P	L15SQ28	
15	0	58	:	L15SQ0	
15	1	58	:	L15SQ1	
15	2	58	:	L15SQ2	
16	3	TT_EOL	N/P	L16SQ3	
16	0	58	:	L16SQ0	
16	1	58	:	L16SQ1	
16	2	TT_WORD	Changes	L16SQ2	
16	3	TT_WORD	in	L16SQ3	
16	4	TT_WORD	Commitments	L16SQ4	
16	5	TT_WORD	from	L16SQ5	
16	6	58	:	L16SQ6	
16	7	TT_WORD	April	L16SQ7	
16	8	TT_NUMBER	25	L16SQ8	
16	9	44	","	L16SQ9	
16	10	TT_NUMBER	2023	L16SQ10	
16	11	58	:	L16SQ11	
17	12	TT_EOL	N/P	L17SQ12	
17	0	58	:	L17SQ0	
17	1	TT_NUMBER	32	L17SQ1	
17	2	44	","	L17SQ2	
17	3	TT_NUMBER	903	L17SQ3	
17	4	58	:	L17SQ4	
17	5	TT_NUMBER	6	L17SQ5	
17	6	44	","	L17SQ6	
17	7	TT_NUMBER	760	L17SQ7	
17	8	TT_NUMBER	-4	L17SQ8	
17	9	44	","	L17SQ9	
17	10	TT_NUMBER	310	L17SQ10	
17	11	TT_NUMBER	158	L17SQ11	
17	12	TT_NUMBER	918	L17SQ12	
17	13	TT_NUMBER	559	L17SQ13	
17	14	TT_NUMBER	551	L17SQ14	
17	15	TT_NUMBER	13	L17SQ15	
17	16	44	","	L17SQ16	
17	17	TT_NUMBER	862	L17SQ17	
17	18	TT_NUMBER	5	L17SQ18	
17	19	44	","	L17SQ19	
17	20	TT_NUMBER	39	L17SQ20	
17	21	TT_NUMBER	4	L17SQ21	
17	22	44	","	L17SQ22	
17	23	TT_NUMBER	462	L17SQ23	
17	24	TT_NUMBER	966	L17SQ24	
17	25	TT_NUMBER	16	L17SQ25	
17	26	44	","	L17SQ26	
17	27	TT_NUMBER	542	L17SQ27	
17	28	58	:	L17SQ28	
17	29	TT_NUMBER	-1	L17SQ29	
17	30	44	","	L17SQ30	
